CNN,SP
34076000,34066000
34076000,34079000
23060000,33411000
23060000,33412000
23267000,23266000
23267000,23275000
23267000,23279000
23267000,23273000
21432000,21431000
21432000,21441000
21432000,21426000
26100000,33568000
26100000,26102000
26100000,26089000
26100000,25777000
26100000,26098000
26100000,26101000
27789000,27787000
27789000,27792000
27789000,27788000
27789000,27798000
30050000,24693000
30050000,24575000
30050000,24573000
30050000,30056000
26171000,26177000
26171000,26203000
26171000,50586000
25299000,25297000
25299000,25300000
25299000,25303000
25299000,25261000
24119000,24121000
24119000,24152000
24119000,24118000
22605000,22595000
22605000,22606000
22605000,22604000
22605000,22612000
26380000,26448000
26380000,26378000
26380000,26454000
26380000,26377000
50818000,51958000
50818000,51961000
22109000,22108000
22109000,22073000
22109000,21803000
22109000,22111000
20449000,20111000
20449000,20456000
20449000,20450000
20449000,20447000
32926000,32927000
32926000,32925000
22710000,22707000
22710000,22709000
